,Speaker,Timestamp,Text,Seconds
0,Speaker 1,00:00,"â¦ Agree to, the clerk will report the nomination.",0
1,Speaker 2,00:03,"Nomination Department of Justice, Harmeet Dhillon of California to be an Assistant Attorney General.",3
2,Speaker 2,00:09,"Mr. President, I sent a culture motion to the desk.",9
3,Speaker 1,00:13,The clerk will report the motion to invoke cloture.,13
4,Speaker 2,00:16,"Cloture motion, we, the undersigned senators in accordance with the provisions of Rule 22 of the Standing Rules of the Senate do hereby move to bring to a closed debate on the nomination of Harmeet Dhillon of California to be an Assistant Attorney General signed by 17 senators as follows.",16
5,Speaker 2,00:30,"Mr. President, I ask and consent the reading the names we waived.",30
6,Speaker 1,00:33,With that objection.,33
7,Speaker 2,00:37,"Mr. President, I yield the floor.",37
8,Speaker 1,00:45,The senator from New Jersey.,45
9,Senator Cory Booker,00:48,"I am really grateful Mr. President, grateful you're in the chair and I'm grateful to be able to rise right now and speak. I want to say at the top that I have a tremendous love for this institution and a lot of that's born from the people that are here, from the pages I get to know in every class to the folks that work the doors, the clerks, the parliamentarians. This is a special place and a lot of the people who are known here are not the ones who really keep this place functioning. (01:24)I come in here days and I have good moods or bad moods, but always find myself lifted when I walk onto this floor. It's a sacred civic space. It is extraordinary and I'm always aware of the weight of history when I walk in here, no matter good day, bad day, whether I'm in a rush or not. When I touch the Senate floor, I feel something really magnificent. I don't think that our founders would've ever imagined a body like this with Black people on both sides of the aisle with women serving here, with folks from many different backgrounds. We are in many ways doing what this senate with the founders had envisioned, which was this idea of every generation making this a more perfect union. (02:34)But there have been times in this journey where our union was in crisis and was in peril. There have been times in this great American journey over our 250 years where so many heroes had to emerge. People that I've come to revere like Joshua Chamberlain from Maine who played such a pivotal role in the Battle of Gettysburg, what a noble soul he was. He would later go on to be the governor of his state and go on to great things, but his heroism lay that in a time of crisis, he stood up. I know there are veterans in this body and I admire them so much who have answered that call to serve our country and put their lives at sacrifice. There are people that I admire that are heroes of mine that were suffragists who were people who fought as abolitionists. There are people more recently that I've come to lionize and admire because they did so much for this country, not with titles, not with high rank or positions, but folks who in this country was facing crossroads, was facing crises. (03:57)They stood up, they spoke up. One of my greatest heroes of life was a man I got to serve with named John Lewis and I served with him in this body and every opportunity I had, I would ask him about the times when he was just a 20-something. He was the youngest person who was a feature speaker on the march on Washington. He was called the bravest man in the Civil Rights Movement because he kept putting himself in harm's way to dramatize, to let folks know, to bring attention to the injustices in this world and to say very strongly that this what is going on in our country is not normal, that this going on in our country is wrong. (04:43)I stand on this floor as a United States Senator, but I revere people who never stood on this floor. People who before they even got to their 30s and 40s and 50s in life were out there as great patriots fighting for this nation. I rise today in an unusual manner and I want to be clear and explain that, but I just want to tell you what John Lewis said. It's a quote so many people know and he really spoke not to members of the Senate or the Congress. He was really speaking to Americans. He said, ""Get in good trouble, necessary trouble, help redeem the soul of America."" (05:35)John Lewis died in 2020 in July at a time that it was Donald Trump's first term in office and he did what Congress people did, but he also did some really extraordinary things to fight for healthcare. My friend Chris Murphy knows about that. He was there when John Lewis did an open Facebook chats, not in this chamber or in the house chamber. He sat on the steps and people were there. I remember when he did a sit-in, they had to shut the cameras off on him. He got in good trouble on the house side too, and so I start tonight thinking about him. I've been thinking about him a lot during these last 71 days, get in good trouble, necessary trouble, help redeem the soul of America and had to ask myself if he's my hero, how am I living up to his words? I think Democrats and Republicans have made a lot of mistakes. (06:40)No side has a monopoly on the truth. No side has been perfect servants of this country, but what's happened in the last 71 days is a patent demonstration of a time where John Lewis's call to everyone has I think become more urgent and more pressing and if I think it's a call for our country, I have to ask myself how I'm living these words. So tonight I rise with the intention of getting in some good trouble. I rise with the intention of disrupting the normal business of the United States Senate for as long as I am physically able. I rise tonight because I believe sincerely that our country is in crisis and I believe that not in a partisan sense because so many of the people that have been reaching out to my office in pain, in fear, having their lives upended. So many of them identify themselves as Republicans. (07:52)Indeed conversations from in this body to in this building to across my state and recently in a travel across the country, Republicans as well as Democrats are talking to me about what they feel is a sense of dread about a growing crisis or what they point to about what is going wrong. That bedrock commitments in our country that both sides rely on, that people from all backgrounds rely on, those bedrock commitments are being broken. Unnecessary hardships are being born by Americans of all backgrounds and institutions which are special in America, which are precious, which are unique in our country are being recklessly, and I would say even unconstitutionally affected, attacked, even shattered. In just 71 days, the President of the United States has inflicted so much harm on American's safety, financial stability, the core foundations of our democracy and even our aspirations as a people from our highest offices, a sense of common decency. (09:06)These are not normal times in America and they should not be treated as such. John Lewis, so many heroes before us would say that this is the time to stand up, to speak up. This is the time to get in some good trouble, to get into necessary trouble. I can't allow this body to continue without doing something different, speaking out. The threats to American people and American democracy are grave and urgent and we all must do more. We all must do more against them, but those 10 words, ""If it is to be, it is up to me."" All of us have to think of those 10 two-letter words, ""If it is to be, it is up to me."" Because I believe generations from now will look back at this moment and have a single question, ""Where were you when our country was in crisis and when American people were asking for help?"" ""Help me."" Did we speak up? (10:24)Did we speak up when 73 million American seniors who rely on social security to have that promise mocked, attacked, and then to have the services undermined to be told that be no one there to answer if you call for help. When our seniors became afraid and worried and panicked because of the menacing words of their president of the most wealthy person in the world of cabinet secretaries. Did we speak up? When the American economy in 71 days has been upended when prices at the grocery store were skyrocketing and the stock market was plunging when pension funds 401K's were going down, when Americans were hurting and looking up. Where the resounding answer to this question was no, are you better off economically than you were 71 days ago? (11:37)Where were you? Did you speak up at a time when the President of the United States was launching trade wars against our most close allies when he was firing regulators who investigate America's biggest banks and biggest corporations and stop them from taking advantage of the little guy or the little gal or my grandmother or your grandfather dismantling the agency that protects consumers from fraud that the only one whose sole purpose is to look out for them, did you just speak up when the President of the United States in a way that is so crass and craven peddled his own meme coin and made millions upon millions of dollars for his own bank account at a time so many are struggling economically. (12:49)Did you speak up when the President of the United States did what amounts to a car commercial for the richest man in the world right in front of America's house, the White House when the president tried to take healthcare away, where were you? Did you speak up? Threatening a program called Medicaid helps people with disabilities, helps expectant mothers, helps millions upon millions of Americans and why? As a part of a larger plan to pay for tax cuts for the wealthiest amongst us who've done the best over the last 20 years. For billionaires, it seems so close to the president that they sat right on the dais at his inauguration and sit in his cabinet meetings at the White House. (13:50)Did you speak up when he gutted public education, slashed funds for pediatric cancer research fired thousands of veterans who risked their lives for their country when he abandoned our allies and our international commitments at a time when floods, fires, and hurricanes, and droughts are devastating communities across this country when countries all around the world a banding together to do something and he turned his back. Did you speak up when outbreaks of dangerous infectious diseases are still a global threat, but yet we have stopped engaging the efforts necessary to meet those threats? Where were you when the American press was being censored? When international students were being disappeared from American streets without due process, when American universities were being intimidated into silence, challenging that fundamental idea of freedom of thought, freedom of expression. When the law firms that represent clients that may not be favored were attacked and attacked, where were you? (15:11)Did you speak up when they came for those firms or what about when the people who attacked the police officers who defended this building, an American democracy on January 6th, who just outside those doors put their lives on the line for us and many of them would later die? Where were you when the president pardoned them, celebrated them and even talked of giving them money? The people who savagely beat American police officers? Did you speak up when Americans from across the country were all speaking up, more and more voices in this country speaking up saying, ""This is not right. This is un-American. This is not who we are, this is not America."" Did you speak up? (16:13)And so I rise tonight because I believe to be about what is normal right now when so much abnormal is happening is unacceptable. I rise tonight because silence at this moment of national crisis would be a betrayal of some of the greatest heroes of our nation because at stake in this moment is nothing less than everything that we brag about, that we talk about that makes us special. At stake right now are some of our most basic American principles that so many Americans understand are worth fighting for, worth standing for, worth speaking up for. Like if you work hard your entire life and pay into social security, it should be there for you when you retire and you should not have to question if those paychecks will arrive and the government should strive to improve service to you, not brag about cutting it. (17:20)Basic American principles like if you serve your nation in the military, if you put your life in danger abroad, you will be respected and taken care of. You'll be cherished and honored and not forced to worry that the federal employees who provide you with care, many of whom who are veterans themselves will be fired or the benefits that you rely on will be denied or that your healthcare needs won't be met. Basic American principles like your child will have access to a high quality public education that every child has a unique genius, even our children, beautiful children with special needs, they have genius and then our children can go to school and parents and teachers know that they will be safe there. At stake now are those basic American principles that the people you elect to serve you in government will represent you and not try to make themselves richer, not run some scam and call you a sucker. (18:39)These basic ideals of our nation that everyone's rights will be equally protected and everyone will be held accountable under the law. Right now, all of this, things that make our country different are under attack. Our constituents are asking us to acknowledge this. Everywhere I travel now, I hear from Republicans and independents and Democrats who are afraid, who are worried, who are angry, and I think about John Lewis who taught me that fear is not something to be shunned. It's almost a signpost that you're headed in the right direction. It is something that is a necessary precondition. You cannot have great fear without great courage. John Lewis would tell us that this is a time for great courage. He would tell us that anger is a fuel. It can consume you, debilitate you, or it could fuel you to put yourself in service of others. (19:56)I feel if my friend was here, if my hero was here, he would tell us and try to teach us that this is a moment to know that despair is only possible if you don't meet it. As an agent of hope, if John Lewis was here, he would look at me and say, ""What are you doing?"" What are we doing? So tonight I rise in an unusual way. I rise with the intention to stand here until I can stand no longer, until I'm physically unable to stand anymore. I'm going to speak up. I'm going to try to cause some good trouble in this body I respect so much. I'm going to try to cause what I believe is necessary trouble. (20:56)I'm going to try to honor the legacy that I know I've inherited as an American. The legacy I think about when I come to this floor and feel sometimes overwhelmed with all the sacrifice and struggle that had to get me here. Good people who caused good trouble in the face of slavery. Good people who caused good trouble in the face of the denial of the right to vote. Good people who caused good trouble in the cause of equal rights. Good people who caused good trouble in the fight against hate. Good people who caused good trouble in the fight against demagogues, from McCarthy to Father Coughlin, to big people who showed such small character when they tried to suppress others. I want to cause good trouble and prove worthy of those who came before. (21:50)This is not normal. Listen to America. Listen to Americans, they seem to always be ahead of this body. They're rising up in state after state, not along partisan lines, but as an American line. Not because they hate other Americans, but because they love America and know that what does love look like in public? It looks like justice and there is so much injustice going on. I don't know how long I can stand, but I will stand and speak up. I want to start by reading some of these letters to try to give folk a flavor of what's happened in my office for 71 days. (22:47)The calls we've gotten have gotten more and more numerous. I know I'm not the only one because the calls became so numerous to the Senate as a whole, it locked up the lines. The letters I'm getting, the emails I'm getting, people taking scraps of paper and just writing their hearts out and sending it in to say this is not ordinary times, these are painful times, frightening times. Times where people question what's happening to America and worry that there are powerful people trying to fundamentally change our nation in a way that will hurt people to the benefit of the powerful and the wealthy. (23:38)I look at these letters like this one, I won't read the name, but they say, ""Hi, Senator Booker. Medicaid has saved my life many times. Without it, many people in America will die. Please help us."" Underlined multiple times. Here's another scrap of paper where somebody writes their heart out, ""Dear Senator Booker, when I got out of the Navy, I had mental illness. I needed psychiatric medicine to stop going in and out of the hospital. Because of Medicare, I have medicine that has kept me out of the hospital for 18 years. Without Medicaid and my medicine, I will wind up in the hospital."" (24:44)Americans telling me their most vulnerable pains, their most terrified realities are now confronting them, rendering their pride and telling their truth. Here's another one. Dear Senator Booker, I'm writing you today as a constituent. In addition to being a concerned citizen, I'm a 25-year employee of the local Board of Education and a parent of a permanently disabled daughter who has just started receiving Medicaid. Even with her master's degree, my daughter is only able to work 19 hours a week. Therefore, insurance is not provided. Medicaid is a necessity to maintain her physical and emotional health and provide services to assist with her independence so she can continue to be a contributing member of society. By withdrawing funding for Medicaid, the policy would disrupt programs serving disabled and elderly people in New Jersey and throughout the country, and Medicaid is only one area which will potentially be affected by Donald Trump's funding freeze. Please protect social security and Medicare for the hardworking Americans who have earned it. (26:20)Social Security isn't quote, a handout. We've paid into it with every paycheck throughout our entire working lives and the 66 million seniors relying on Medicare could have their healthcare put on hold or canceled. We deserve to know these programs will be there for us. If federal grants are limited, medical and science research limited, including vaccines and disease prevention, they'll all be severely impacted. The United States should be a world leader in healthcare, in education and scientific advancement. This is an embarrassment to us as a country. It should not be possible in America for one single man, even elected president to stop funds which Congress has already allocated. I implore you to use your power as my senator and a key member of our government to stand up for what is important to the people of your district. We want to go to work, take care of our families, and ensure all citizens have health services they deserve. These latest orders are inappropriate, untenable, and illegal. As a senator, please take action. Please take action to defend and protect these programs, thank you for your time. (28:09)Cory Booker, recently it's come to my attention that my students rights in New Jersey are under threat from new legislation. This has caused distress and uncertainty in my classroom from my students who depend on funds for Medicaid. My students depend on consistency and a lapse in their education and care would result in regression, trauma, and worse. I teach students in New Jersey who are supported by your legislature. I teach all abilities meaning many of the students live with ADHD, autism, and other disorders that require extra care and attention. It's my life's mission to bring what I know to those who want to learn it. (28:59)I love the job I do. I love that I get to spend time with those who need it most and deliver care and education. The job that I do helps my students live more independently and achieve richer and more fulfilling lives. I live out of state, but most of my students are from the state you help legislate. My students' rights are in trouble and need you to advocate for them. I urge you to continue to fight for Medicaid. Please work to oppose any and all cuts or caps to the Medicaid program. (29:41)Dear Senator Booker, I'm a registered voter in New Jersey. I'm writing today to strongly urge you and your fellow policymakers to oppose all cuts to the Medicaid program as it is a lifeline for individuals with disabilities. Oppose all cuts or caps. I was a special education teacher for 30 years and after I retired, I volunteered as a special education advocate for 10 years. I had the privilege of advocating for many disabled children and young adults who were receiving Medicaid services. Medicaid gave many of my clients the opportunity to participate in society by providing daily life skills for independence. Skills reinforced through Medicare programs include shopping, safety, job search, speech and language. Just to point out a few of the services provided by Medicaid, my clients require repetition of these skills to function in their daily lives. (30:52)Without these programs provided by Medicaid, regression will occur and learned skills will not be retained. Without Medicaid, this community will struggle, isolate, and lose any quality of life they've enjoyed since receiving Medicaid services. Medicaid has made a critical difference in the lives of my clients. Cutting and capping Medicaid will have devastating consequences for them and their family. Senator, there are 1.6 million New Jersey residents with disabilities who rely on Medicaid for access to vital care, resources, and essential medications needed to survive. Please support and fight for these vulnerable New Jersey citizens. Please take action to protect these vital programs provided by Medicaid. Thank you in advance for your anticipated efforts in my request of your support for our most vulnerable residents. I'm going to rise tonight as I",48
