,Name,State,Party,Date,TimeString,TimeInt
1,Strom Thurmond,South Carolina,Democratic,08/28/1957,24:18,87480
2,Alfonse D'Amato,New York,Republican,10/17/1986,23:30,84600
3,Wayne Morse,Oregon,Independent,04/24/1953,22:26,80760
4,Ted Cruz,Texas,Republican,09/24/2013,21:18,76680
5,Robert M. La Follette Sr.,Wisconsin,Republican,05/29/1908,18:23,66180
6,William Proxmire,Wisconsin,Democratic,09/28/1981,16:12,58320
7,Huey Long,Lousiana,Democratic,06/12/1935,15:30,55800
8,Jeff Merkley,Oregon,Democratic,04/04/2017,15:28,55680
9,Alfonse D'Amato,New York,Republican,10/05/1992,15:14,54840
10,Chris Murphy,Connecticut,Democratic,06/15/2016,14:50,53400
